,company,industry,sector,year,url,filename
0,Brookfield Property Partners LP,Real Estate Development,Financial,2019.0,https://www.brookfield.com/sites/default/files/2020-09/Brookfield%20ESG%20Report%202019_0.pdf,BrookfieldPropertyPartnersLP-2019.pdf
1,PrairieSky Royalty Ltd,Real Estate Development,Financial,2017.0,https://www.prairiesky.com/wp-content/uploads/1.1-PrairieSky-Royalty-Ltd.-Responsibility-Report-2017.pdf,PrairieSkyRoyaltyLtd-2017.pdf
2,PrairieSky Royalty Ltd,Real Estate Development,Financial,2018.0,https://www.prairiesky.com/wp-content/uploads/1.2-PrairieSky_Royalty_Responsibility_Report_2018.pdf,PrairieSkyRoyaltyLtd-2018.pdf
3,PrairieSky Royalty Ltd,Real Estate Development,Financial,2019.0,https://www.prairiesky.com/wp-content/uploads/PrairieSky-Royalty-2019-Responsibility-Report_WEB.pdf,PrairieSkyRoyaltyLtd-2019.pdf
4,Summit Hotel Properties Inc.,Real Estate Development,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_INN_2018.pdf,SummitHotelPropertiesInc.-2018.pdf
5,The RMR Group ,Real Estate Development,Financial,2019.0,https://s21.q4cdn.com/317921054/files/doc_downloads/2020/10/RMR-2019-SUSTAINABILITY-REPORT-DIGITAL.pdf,TheRMRGroup-2019.pdf
6,Armada Hoffler Properties Inc,REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_AHH_2019.pdf,ArmadaHofflerPropertiesInc-2019.pdf
7,Charter Hall Group,REIT - Diversified,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/C/ASX_CHC_2018.pdf,CharterHallGroup-2018.pdf
8,Charter Hall Group,REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/ASX_CHC_2019.pdf,CharterHallGroup-2019.pdf
9,Derwent London plc,REIT - Diversified,Financial,2014.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/LSE_DLN_2014.pdf,DerwentLondonplc-2014.pdf
10,Derwent London plc,REIT - Diversified,Financial,2015.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/LSE_DLN_2015.pdf,DerwentLondonplc-2015.pdf
11,Derwent London plc,REIT - Diversified,Financial,2016.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/LSE_DLN_2016.pdf,DerwentLondonplc-2016.pdf
